"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"193","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"194","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"195","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"196","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9877675840978594"
"198","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"199","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9989806320081549"
"197","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","1"
"200","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9867482161060143"
"201","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"202","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"203","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"204","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"205","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"206","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"207","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"208","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"209","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"210","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"211","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"212","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"213","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"214","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"215","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"216","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"217","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"218","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"219","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"220","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"221","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"222","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"223","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"225","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"226","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"224","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"227","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"228","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"229","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"230","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"231","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"232","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"233","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"234","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"235","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"236","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"237","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"239","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"240","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"241","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"238","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"242","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"243","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"244","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"245","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"246","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"247","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"248","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"249","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"250","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"251","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"252","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"254","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"255","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"256","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"257","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"253","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"258","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"259","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"260","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"261","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"262","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"263","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"264","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"265","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"266","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"267","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"268","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"270","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"269","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"271","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"272","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"273","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"274","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"275","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"276","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"277","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"278","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"279","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"280","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"281","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"282","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"284","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"283","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"285","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"286","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"287","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"288","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"289","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"290","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"291","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"292","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
